id,name,Drought,pct_burned,Flood_storm_cyclone,Covid total cases,pct_Covid job losses,Disaster index
10550,Bega Valley,yes,61.2,yes,1,5.7,2.669
11730,Clarence Valley,yes,59,yes,0,5.9,2.649
22110,East Gippsland,yes,54.1,yes,5,6.8,2.611
16610,Richmond Valley,yes,53.4,yes,0,4.8,2.582
14350,Kempsey,yes,53.7,yes,1,3.2,2.569
14870,Lithgow,yes,52.5,yes,1,-1.9,2.506
17850,Walcha,yes,41.2,yes,0,0.2,2.414
17400,Tenterfield,yes,33.7,yes,3,1.2,2.35
15650,Muswellbrook,yes,26.8,yes,0,2.2,2.29
10180,Armidale Regional,yes,28.4,yes,0,0.3,2.287
16100,Oberon,yes,20.5,yes,0,2.5,2.23
36580,Somerset,yes,9.3,yes,3,6.3,2.157
34580,Lockyer Valley,yes,11.7,yes,0,2.9,2.146
36510,Scenic Rim,yes,9.7,yes,1,4.4,2.141
26810,Wellington,yes,0.4,yes,7,11,2.117
14550,Kyogle,yes,7,yes,0,4.3,2.113
10300,Balranald,yes,0,yes,0,9.7,2.097
13850,Hay,yes,0,yes,0,9.7,2.097
17950,Warren,yes,0.4,yes,0,8.5,2.089
11150,Bourke,yes,0.2,yes,0,8.7,2.089
12150,Coonamble,yes,0.1,yes,0,8.7,2.088
10950,Bogan,yes,0,yes,0,8.7,2.087
11200,Brewarrina,yes,0,yes,0,8.7,2.087
11750,Cobar,yes,0,yes,0,8.7,2.087
17900,Walgett,yes,0,yes,0,8.7,2.087
17310,Tamworth Regional,yes,6.3,yes,3,2.2,2.086
36660,Southern Downs,yes,4,yes,1,4.2,2.082
15270,Mid-Western Regional,yes,9.2,yes,0,-1.9,2.073
14850,Lismore,yes,2.7,yes,1,4.3,2.07
35800,Paroo,yes,0,yes,0,6.2,2.062
31820,Bundaberg,yes,3,yes,2,3,2.061
35760,North Burnett,yes,1.4,yes,0,4.2,2.056
33610,Goondiwindi,yes,0.4,yes,0,5.1,2.055
37310,Western Downs,yes,1.4,yes,0,3.9,2.053
34860,Maranoa,yes,0.1,yes,0,5.1,2.052
30300,Balonne,yes,0,yes,0,5.1,2.051
36630,South Burnett,yes,0.6,yes,1,4.2,2.048
15520,Murray River,yes,0,yes,0,4.8,2.048
10850,Blayney,yes,0.3,yes,0,4.4,2.047
36910,Toowoomba,yes,1.2,yes,8,2.7,2.043
11400,Cabonne,yes,0,yes,0,4.3,2.043
11600,Carrathool,yes,0,yes,0,4.2,2.042
12870,Federation,yes,0.1,yes,0,4,2.041
15800,Narrandera,yes,0.1,yes,0,4,2.041
10800,Bland,yes,0,yes,0,4,2.04
12000,Coolamon,yes,0,yes,0,4,2.04
12350,Cowra,yes,0,yes,0,4,2.04
12730,Edward River,yes,0,yes,0,4,2.04
12900,Forbes,yes,0,yes,0,4,2.04
13910,Hilltops,yes,0,yes,0,4,2.04
14300,Junee,yes,0,yes,0,4,2.04
14600,Lachlan,yes,0,yes,0,4,2.04
14750,Leeton,yes,0,yes,0,4,2.04
15560,Murrumbidgee,yes,0,yes,0,4,2.04
16200,Parkes,yes,0,yes,1,4,2.04
17350,Temora,yes,0,yes,0,4,2.04
18100,Weddin,yes,0,yes,0,4,2.04
14950,Lockhart,yes,0,yes,0,3.9,2.039
12390,Dubbo Regional,yes,0.1,yes,1,3.5,2.036
13660,Gwydir,yes,2.2,yes,0,1.3,2.035
12950,Gilgandra,yes,0,yes,0,3.5,2.035
15850,Narromine,yes,0,yes,1,3.5,2.035
15750,Narrabri,yes,1.1,yes,0,2.1,2.032
17650,Uralla,yes,2.6,yes,0,0.3,2.029
30370,Banana,yes,1.9,yes,0,0.9,2.028
14920,Liverpool Plains,yes,0.4,yes,0,2.2,2.026
10470,Bathurst Regional,yes,0.1,yes,0,2.5,2.026
14220,Inverell,yes,1.2,yes,0,1.2,2.024
13550,Gunnedah,yes,0,yes,1,2.3,2.023
15300,Moree Plains,yes,0.1,yes,1,2,2.021
