country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,place_id,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
AU,Australia,New South Wales,Armidale Dumaresq Council,,,,ChIJPXdpvMSnn2sRamkBGce1LIM,2021-04-29,12.0,,,,1.0,
AU,Australia,New South Wales,Ballina Shire Council,,,,ChIJGSMhcwKCkGsRWLKq2JtdcD0,2021-04-29,2.0,22.0,-13.0,1.0,11.0,1.0
AU,Australia,New South Wales,Bankstown City Council,,,,ChIJBUCbNJ6-EmsRKjYZthGxB6w,2021-04-29,-4.0,15.0,39.0,-21.0,-8.0,3.0
AU,Australia,New South Wales,Bathurst Regional Council,,,,ChIJX9HZN_boEWsR2XS1xfFaJRs,2021-04-29,9.0,13.0,,,3.0,1.0
AU,Australia,New South Wales,Bayside Council,,,,ChIJAzZME7CwEmsRwZ71IjMR7s4,2021-04-29,-12.0,7.0,-10.0,-44.0,-19.0,6.0
AU,Australia,New South Wales,Bega Valley Shire Council,,,,ChIJCxhJUUsiPGsRvVK1j54XWd4,2021-04-29,-1.0,,-3.0,,9.0,0.0
AU,Australia,New South Wales,Bellingen Shire Council,,,,ChIJ8aCTwS6inmsRLgCilfSGS00,2021-04-29,,,,,13.0,
AU,Australia,New South Wales,Blue Mountains City Council,,,,ChIJY0PVRG96EmsRNFJja1O7WIk,2021-04-29,4.0,-9.0,7.0,-30.0,-1.0,2.0
AU,Australia,New South Wales,Broken Hill City Council,,,,ChIJ05vCeHuu7moRt5SUOJuE2DA,2021-04-29,,,,,11.0,
AU,Australia,New South Wales,Burwood Council,,,,ChIJr-TL0-e6EmsR3I14-kqg-gY,2021-04-29,-14.0,40.0,,-26.0,-16.0,7.0
AU,Australia,New South Wales,Byron Shire Council,,,,ChIJ6bc5ArOOkGsR6SOBwJwRST0,2021-04-29,-25.0,-37.0,-48.0,,-13.0,2.0
AU,Australia,New South Wales,Cabonne Shire Council,,,,ChIJt47h5LQgEGsRCO0YWBJltu8,2021-04-29,,,,,-5.0,
AU,Australia,New South Wales,Camden Council,,,,ChIJ2x-Hx4PxEmsRw6mpOyYhgGY,2021-04-29,7.0,40.0,38.0,-20.0,0.0,2.0
AU,Australia,New South Wales,Campbelltown City Council,,,,ChIJO9s-6t3uEmsRmDDk_5-6CIo,2021-04-29,11.0,4.0,50.0,-11.0,7.0,3.0
AU,Australia,New South Wales,Canterbury City Council,,,,ChIJww7FgzW6EmsRAhn8AfiQpdM,2021-04-29,0.0,17.0,15.0,-18.0,-11.0,5.0
