date,sub_region_2,workplaces_percent_change_from_baseline
2021-04-29,,-6.0
2021-04-29,,7.0
2021-04-29,,-7.0
2021-04-29,Armidale Dumaresq Council,1.0
2021-04-29,Ballina Shire Council,11.0
2021-04-29,Bankstown City Council,-8.0
2021-04-29,Bathurst Regional Council,3.0
2021-04-29,Bayside Council,-19.0
2021-04-29,Bega Valley Shire Council,9.0
2021-04-29,Bellingen Shire Council,13.0
2021-04-29,Blue Mountains City Council,-1.0
2021-04-29,Broken Hill City Council,11.0
2021-04-29,Burwood Council,-16.0
2021-04-29,Byron Shire Council,-13.0
2021-04-29,Cabonne Shire Council,-5.0
2021-04-29,Camden Council,0.0
2021-04-29,Campbelltown City Council,7.0
2021-04-29,Canterbury City Council,-11.0
2021-04-29,Cessnock City Council,10.0
2021-04-29,City of Albury,2.0
2021-04-29,City of Blacktown,-9.0
2021-04-29,City of Canada Bay Council,-19.0
2021-04-29,City of Lake Macquarie,1.0
2021-04-29,City of Liverpool,4.0
2021-04-29,City of Parramatta Council,-23.0
2021-04-29,City of Ryde,-5.0
2021-04-29,City of Shoalhaven,12.0
2021-04-29,City of Willoughby,-18.0
2021-04-29,Clarence Valley Council,11.0
2021-04-29,Coffs Harbour City Council,2.0
2021-04-29,Cooma-Monaro Council,17.0
2021-04-29,Corowa Shire Council,4.0
2021-04-29,Council of the City of Sydney,-20.0
2021-04-29,Cowra Shire Council,11.0
2021-04-29,Cumberland Council,-17.0
2021-04-29,Dubbo City Council,7.0
2021-04-29,Eurobodalla Shire Council,11.0
2021-04-29,Fairfield City Council,-1.0
2021-04-29,Goulburn Mulwaree Council,9.0
2021-04-29,Griffith City Council,9.0
2021-04-29,Gunnedah Shire Council,1.0
2021-04-29,Hawkesbury City Council,-3.0
2021-04-29,Hurstville City Council,-15.0
2021-04-29,Inner West Council,-27.0
2021-04-29,Inverell Shire Council,32.0
2021-04-29,Kempsey Shire Council,6.0
2021-04-29,Kogarah City Council,-13.0
2021-04-29,Ku-ring-gai Council,-8.0
2021-04-29,Lane Cove Municipal Council,-21.0
2021-04-29,Leeton Shire Council,6.0
2021-04-29,Lismore City Council,11.0
2021-04-29,Lithgow City Council,6.0
2021-04-29,Maitland City Council,1.0
2021-04-29,Mid-Western Regional Council,5.0
2021-04-29,MidCoast Council,13.0
2021-04-29,Mosman Municipal Council,-13.0
2021-04-29,Muswellbrook Shire Council,6.0
2021-04-29,Nambucca Shire Council,17.0
2021-04-29,Newcastle City Council,-3.0
2021-04-29,North Sydney Council,-28.0
2021-04-29,Northern Beaches Council,-13.0
2021-04-29,Orange City Council,5.0
2021-04-29,Palerang Council,-3.0
2021-04-29,Parkes Shire Council,1.0
2021-04-29,Penrith City Council,-3.0
2021-04-29,Port Macquarie-Hastings Council,8.0
2021-04-29,Port Stephens Council,7.0
2021-04-29,Queanbeyan City Council,5.0
2021-04-29,Randwick City Council,-14.0
2021-04-29,Richmond Valley Council,2.0
2021-04-29,Shellharbour City Council,4.0
2021-04-29,Singleton Shire Council,14.0
2021-04-29,Strathfield Municipal Council,-24.0
